training_loss,training_dice,validation_loss,validation_dice
0.23509401610608777,0.8893164002332564,0.1074854351580143,0.9601250863075257
0.07616104913052059,0.9735377190450742,0.061463991180062294,0.9711407959461212
0.04946372199148068,0.9767072584496036,0.04273159310221672,0.977287061214447
0.03808428814770582,0.9783278455550067,0.035333109721541404,0.9787301528453827
0.03171621408521361,0.9797057486399049,0.03080226980149746,0.9794792377948761
0.028028908453466044,0.980534979202205,0.029056532718241216,0.9792300975322723
0.02547848963302604,0.9812540051251522,0.02577801339328289,0.9807303822040558
0.023569007520064265,0.9819367929589595,0.02488609328866005,0.9808539998531342
0.02239211408877066,0.9822868070377301,0.025560996495187283,0.9795526885986328
0.02140929865702795,0.9826338142796136,0.023042865768074988,0.981472589969635
